Invoice,SAP,Reference,Document Date,Posting Date,Customer text,G/L,Dr/Cr Indicator,Amount,Tax Code,Value Date,G/L Text,Business Area,Cost Center,Order,Detail Text,Profit Center
,13759,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,56.64,C4,,2016-12-01-2016-12-31 - 2762,1001,,,,6103
,13759,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,279.65,C4,,2016-12-01-2016-12-31 - 2762,1001,,,,6109
,13759,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,126.14,C4,,2016-12-01-2016-12-31 - 2762,1001,,,,6102
,14211,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,5066.31,C4,,2016-12-01-2016-12-31 - 803,1001,,,,6103
,14211,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,12713.96,C4,,2016-12-01-2016-12-31 - 803,1001,,,,6102
,14211,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,16.06,C4,,2016-12-01-2016-12-31 - 803,1001,,,,6110
,10025,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1459.42,C4,,2016-12-01-2016-12-31 - 796,1001,,,,6103
,10025,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,8058.68,C4,,2016-12-01-2016-12-31 - 796,1001,,,,6102
,14243,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,228.24,C4,,2016-12-01-2016-12-31 - 1060,1001,,,,6103
,14243,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1713.6,C4,,2016-12-01-2016-12-31 - 1060,1001,,,,6102
,14235,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,10265.89,C4,,2016-12-01-2016-12-31 - 1004,1001,,,,6103
,14235,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,5159.84,C4,,2016-12-01-2016-12-31 - 1004,1001,,,,6102
,14235,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,13.33,C4,,2016-12-01-2016-12-31 - 1122,1001,,,,6103
,14235,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,2941.68,C4,,2016-12-01-2016-12-31 - 1122,1001,,,,6102
,14235,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,5964.28,C4,,2016-12-01-2016-12-31 - 3248,1001,,,,6103
,14235,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1518.44,C4,,2016-12-01-2016-12-31 - 3248,1001,,,,6102
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,550.66,C6,,2016-12-01-2016-12-31 - 1080,2001,,,,6103
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,3877.54,C6,,2016-12-01-2016-12-31 - 1080,2001,,,,6102
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,638.13,C6,,2016-12-01-2016-12-31 - 926,2001,,,,6103
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,889.08,C6,,2016-12-01-2016-12-31 - 926,2001,,,,6102
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1078.14,C4,,2016-12-01-2016-12-31 - 1113,1001,,,,6103
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1856.4,C4,,2016-12-01-2016-12-31 - 1113,1001,,,,6102
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,69.02,C4,,2016-12-01-2016-12-31 - 1113,1001,,,,6110
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,2143.43,C4,,2016-12-01-2016-12-31 - 1116,1001,,,,6103
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,124.95,C4,,2016-12-01-2016-12-31 - 1116,1001,,,,6109
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,3347.23,C4,,2016-12-01-2016-12-31 - 1116,1001,,,,6102
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,119,C4,,2016-12-01-2016-12-31 - 1116,1001,,,,6110
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,339.86,C6,,2016-12-01-2016-12-31 - 3502,2001,,,,6103
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1669.18,C6,,2016-12-01-2016-12-31 - 3502,2001,,,,6102
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,625.46,C4,,2016-12-01-2016-12-31 - 1671,1001,,,,6103
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,2696.06,C4,,2016-12-01-2016-12-31 - 1671,1001,,,,6102
,10007,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,3885.11,C4,,2016-12-01-2016-12-31 - 3219,1001,,,,6103
,10007,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1451.16,C4,,2016-12-01-2016-12-31 - 3219,1001,,,,6109
,10007,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,16126.88,C4,,2016-12-01-2016-12-31 - 3219,1001,,,,6102
,10007,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,2.38,C4,,2016-12-01-2016-12-31 - 3219,1001,,,,6110
,10007,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1565.56,C4,,2016-12-01-2016-12-31 - 999,1001,,,,6103
,10007,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,22786.42,C4,,2016-12-01-2016-12-31 - 999,1001,,,,6102
,10030,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,4085.03,C4,,2016-12-01-2016-12-31 - 428,1001,,,,6103
,10030,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,3525.08,C4,,2016-12-01-2016-12-31 - 428,1001,,,,6109
,10030,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,35630.98,C4,,2016-12-01-2016-12-31 - 428,1001,,,,6102
,10030,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,254.66,C4,,2016-12-01-2016-12-31 - 428,1001,,,,6110
,14229,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,773.98,C4,,2016-12-01-2016-12-31 - 794,1001,,,,6103
,14229,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,22096.87,C4,,2016-12-01-2016-12-31 - 794,1001,,,,6102
,13366,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,783.02,C4,,2016-12-01-2016-12-31 - 1114,1001,,,,6103
,13366,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,2739.38,C4,,2016-12-01-2016-12-31 - 1114,1001,,,,6102
,13839,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1493.45,C4,,2016-12-01-2016-12-31 - 653,1001,,,,6103
,13839,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,2513.78,C4,,2016-12-01-2016-12-31 - 653,1001,,,,6109
,13839,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,14427.56,C4,,2016-12-01-2016-12-31 - 653,1001,,,,6102
,13839,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,14.28,C4,,2016-12-01-2016-12-31 - 653,1001,,,,6110
,13839,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,458.4,C6,,2016-12-01-2016-12-31 - 986,2001,,,,6103
,13839,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1192.61,C6,,2016-12-01-2016-12-31 - 986,2001,,,,6102
,13839,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,109.34,C6,,2016-12-01-2016-12-31 - 986,2001,,,,6110
,,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1234.2,C6,,2016-12-01-2016-12-31 - 39,2001,,,,6111
,14135,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,194881.78,C4,,2016-12-01-2016-12-31 - 994,1001,,,,6111
,14135,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,0.34,C6,,2016-12-01-2016-12-31 - 3127,2010,,,,6111
,14135,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,20.45,C6,,2016-12-01-2016-12-31 - 3479,2013,,,,6111
,14135,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,0.35,C6,,2016-12-01-2016-12-31 - 1074,2001,,,,6111
,14135,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,113.68,C6,,2016-12-01-2016-12-31 - 1117,3001,,,,6111
,14135,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,0.18,C4,,2016-12-01-2016-12-31 - 41,1001,,,,6111
,14135,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,5030.75,C6,,2016-12-01-2016-12-31 - 37,2001,,,,6111
,14113,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,13.07,C4,,2016-12-01-2016-12-31 - 51,1001,,,,6111
,14113,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1277.11,C4,,2016-12-01-2016-12-31 - 46,1001,,,,6111
